Choosing point 0 as the root ...
Point 429 has a distance 55 to the tree, parent 0;
Point 430 has a distance 58 to the tree, parent 0;
Point 431 has a distance 115 to the tree, parent 0;
Point 432 has a distance 108 to the tree, parent 0;
Point 433 has a distance 36 to the tree, parent 0;
Point 434 has a distance 95 to the tree, parent 0;
Point 435 has a distance 37 to the tree, parent 0;
Point 436 has a distance 23 to the tree, parent 0;
Point 437 has a distance 80 to the tree, parent 0;
Point 438 has a distance 89 to the tree, parent 0;
Point 439 has a distance 7 to the tree, parent 0;
Point 440 has a distance 10 to the tree, parent 0;
Point 441 has a distance 91 to the tree, parent 0;
Point 442 has a distance 92 to the tree, parent 0;
Point 443 has a distance 55 to the tree, parent 0;
Point 444 has a distance 21 to the tree, parent 0;
Point 445 has a distance 72 to the tree, parent 0;
Point 446 has a distance 45 to the tree, parent 0;
Point 447 has a distance 83 to the tree, parent 0;
Point 448 has a distance 33 to the tree, parent 0;
Point 449 has a distance 40 to the tree, parent 0;
Point 450 has a distance 10 to the tree, parent 0;
Point 451 has a distance 51 to the tree, parent 0;
Point 452 has a distance 140 to the tree, parent 0;
Point 453 has a distance 74 to the tree, parent 0;
Point 454 has a distance 93 to the tree, parent 0;
Point 455 has a distance 52 to the tree, parent 0;
Point 456 has a distance 69 to the tree, parent 0;
Point 457 has a distance 66 to the tree, parent 0;
Point 458 has a distance 41 to the tree, parent 0;
Point 459 has a distance 11 to the tree, parent 0;
Point 460 has a distance 68 to the tree, parent 0;
Point 461 has a distance 13 to the tree, parent 0;
Point 462 has a distance 99 to the tree, parent 0;
Point 463 has a distance 96 to the tree, parent 0;
Point 464 has a distance 35 to the tree, parent 0;
Point 465 has a distance 92 to the tree, parent 0;
Point 466 has a distance 71 to the tree, parent 0;
Point 467 has a distance 17 to the tree, parent 0;
Point 468 has a distance 65 to the tree, parent 0;
Point 469 has a distance 22 to the tree, parent 0;
Point 470 has a distance 29 to the tree, parent 0;
Point 471 has a distance 76 to the tree, parent 0;
Point 472 has a distance 36 to the tree, parent 0;
Point 473 has a distance 55 to the tree, parent 0;
Point 474 has a distance 82 to the tree, parent 0;
Point 475 has a distance 23 to the tree, parent 0;
Point 476 has a distance 42 to the tree, parent 0;
Point 477 has a distance 95 to the tree, parent 0;
Point 478 has a distance 43 to the tree, parent 0;
Point 479 has a distance 73 to the tree, parent 0;
Point 480 has a distance 62 to the tree, parent 0;
Point 481 has a distance 41 to the tree, parent 0;
Point 482 has a distance 136 to the tree, parent 0;
Point 483 has a distance 42 to the tree, parent 0;
Point 484 has a distance 101 to the tree, parent 0;
Point 485 has a distance 61 to the tree, parent 0;
Point 486 has a distance 31 to the tree, parent 0;
Point 487 has a distance 43 to the tree, parent 0;
Point 488 has a distance 68 to the tree, parent 0;
Point 489 has a distance 134 to the tree, parent 0;
Point 490 has a distance 24 to the tree, parent 0;
Point 491 has a distance 36 to the tree, parent 0;
Point 492 has a distance 28 to the tree, parent 0;
Point 493 has a distance 56 to the tree, parent 0;
Point 494 has a distance 60 to the tree, parent 0;
Point 495 has a distance 85 to the tree, parent 0;
Point 496 has a distance 42 to the tree, parent 0;
Point 497 has a distance 96 to the tree, parent 0;
Point 498 has a distance 79 to the tree, parent 0;
Point 499 has a distance 67 to the tree, parent 0;
Point 500 has a distance 113 to the tree, parent 0;
Point 501 has a distance 74 to the tree, parent 0;
Point 502 has a distance 86 to the tree, parent 0;
Point 503 has a distance 61 to the tree, parent 0;
Point 504 has a distance 3 to the tree, parent 0;
Point 505 has a distance 114 to the tree, parent 0;
Point 506 has a distance 45 to the tree, parent 0;
Point 507 has a distance 25 to the tree, parent 0;
Point 508 has a distance 123 to the tree, parent 0;
Point 509 has a distance 21 to the tree, parent 0;
Point 510 has a distance 93 to the tree, parent 0;
Point 511 has a distance 116 to the tree, parent 0;
Point 512 has a distance 28 to the tree, parent 0;
Point 513 has a distance 59 to the tree, parent 0;
Point 514 has a distance 8 to the tree, parent 0;
Point 515 has a distance 134 to the tree, parent 0;
Point 516 has a distance 47 to the tree, parent 0;
Point 517 has a distance 103 to the tree, parent 0;
Point 518 has a distance 132 to the tree, parent 0;
Point 519 has a distance 4 to the tree, parent 0;
Point 520 has a distance 55 to the tree, parent 0;
Point 521 has a distance 72 to the tree, parent 0;
Point 522 has a distance 91 to the tree, parent 0;
Point 523 has a distance 49 to the tree, parent 0;
Point 524 has a distance 82 to the tree, parent 0;
Point 525 has a distance 40 to the tree, parent 0;
Point 526 has a distance 45 to the tree, parent 0;
Point 527 has a distance 115 to the tree, parent 0;
Point 528 has a distance 107 to the tree, parent 0;
Point 529 has a distance 130 to the tree, parent 0;
Point 530 has a distance 103 to the tree, parent 0;
Point 531 has a distance 72 to the tree, parent 0;
Point 532 has a distance 8 to the tree, parent 0;
Point 533 has a distance 97 to the tree, parent 0;
Point 534 has a distance 37 to the tree, parent 0;
Point 535 has a distance 71 to the tree, parent 0;
Point 536 has a distance 31 to the tree, parent 0;
Point 537 has a distance 141 to the tree, parent 0;
Point 538 has a distance 109 to the tree, parent 0;
Point 539 has a distance 61 to the tree, parent 0;
Point 540 has a distance 56 to the tree, parent 0;
Point 541 has a distance 99 to the tree, parent 0;
Point 542 has a distance 73 to the tree, parent 0;
Point 543 has a distance 31 to the tree, parent 0;
Point 544 has a distance 52 to the tree, parent 0;
Point 545 has a distance 74 to the tree, parent 0;
Point 546 has a distance 103 to the tree, parent 0;
Point 547 has a distance 51 to the tree, parent 0;
Point 548 has a distance 81 to the tree, parent 0;
Point 549 has a distance 71 to the tree, parent 0;
Point 550 has a distance 104 to the tree, parent 0;
Point 551 has a distance 34 to the tree, parent 0;
Point 552 has a distance 49 to the tree, parent 0;
Point 553 has a distance 74 to the tree, parent 0;
Point 554 has a distance 116 to the tree, parent 0;
Point 555 has a distance 67 to the tree, parent 0;
Point 556 has a distance 57 to the tree, parent 0;
Point 557 has a distance 87 to the tree, parent 0;
Point 558 has a distance 118 to the tree, parent 0;
Point 559 has a distance 75 to the tree, parent 0;
Point 560 has a distance 131 to the tree, parent 0;
Point 561 has a distance 71 to the tree, parent 0;
Point 562 has a distance 37 to the tree, parent 0;
Point 563 has a distance 44 to the tree, parent 0;
Point 564 has a distance 98 to the tree, parent 0;
